"Tier Prices For Configurable Products","Staffelpreise für konfigurierbare Artikel"
"Tier Prices For Configurable Products Settings","Einstellungen für die Extension Staffelpreise für konfigurierbare Artikel"
"General Settings","Allgemeine Einstellungen"
"Enable Extension","Aktiviere Extension"
"Disable Extension for the Following Categories","Extension für die folgenden Kategorien deaktivieren"
"-- Disable for no Category --","-- Für keine Kategorie deaktivieren --"
