"Configurable Tier Prices","Staffelpreise für konfigurierbare Artikel"
"Configurable Tier Prices Settings","Einstellungen für die Extension Staffelpreise für konfigurierbare Artikel"
"General Settings","Allgemeine Einstellungen"
"Enable Extension","Aktiviere Extension"
